ID,Incident_Num,Incident_Type,Occured_date_time,Precinct,Sector,Beat,Officer_ID,Subject_ID,Subject_Race,Subject_Gender
11969-1668-9129,11969,Level 1 - Use of Force,07/26/2016 10:30:00 AM,S,O,O3,1668,9129,White,Male
11970-863-9130,11970,Level 1 - Use of Force,07/26/2016 01:40:00 PM,N,J,J2,863,9130,Black or African American,Male
11971-1615-9133,11971,Level 2 - Use of Force,07/26/2016 05:00:00 PM,N,J,J1,1615,9133,White,Male
11972-762-9133,11972,Level 1 - Use of Force,07/26/2016 05:10:00 PM,N,J,J1,762,9133,White,Male
11985-1610-9133,11985,Level 2 - Use of Force,07/26/2016 05:07:00 PM,N,J,J1,1610,9133,White,Male
11974-2189-9134,11974,Level 1 - Use of Force,07/26/2016 09:54:00 PM,N,B,B2,2189,9134,White,Male
11975-1719-9135,11975,Level 1 - Use of Force,07/27/2016 06:09:00 AM,W,Q,Q3,1719,9135,White,Male
11976-1683-9135,11976,Level 1 - Use of Force,07/27/2016 06:15:00 AM,W,Q,Q3,1683,9135,White,Male
16992-1100-9180,16992,Level 1 - Use of Force,08/22/2017 10:16:00 PM,N,N,N2,1100,9180,White,Female
12032-854-9181,12032,Level 1 - Use of Force,07/30/2016 10:30:00 PM,W,M,M3,854,9181,Not Specified,Female
12040-1849-9185,12040,Level 1 - Use of Force,07/31/2016 11:02:00 PM,N,B,B1,1849,9185,Not Specified,Male
12052-736-9192,12052,Level 1 - Use of Force,07/31/2016 07:45:00 PM,E,G,G1,736,9192,Black or African American,Male
12139-1696-9232,12139,Level 1 - Use of Force,08/03/2016 03:30:00 PM,SW,F,F3,1696,9232,Not Specified,Female
12122-1555-9233,12122,Level 1 - Use of Force,08/04/2016 03:15:00 PM,W,K,K1,1555,9233,Black or African American,Male
12130-1732-9242,12130,Level 1 - Use of Force,08/04/2016 03:02:00 AM,SW,F,F3,1732,9242,White,Male
12151-2115-9255,12151,Level 1 - Use of Force,08/07/2016 10:45:00 PM,E,E,E1,2115,9255,White,Female
13740-2206-11332,13740,Level 1 - Use of Force,12/12/2016 11:08:00 PM,E,C,C2,2206,11332,Black or African American,Male
2879-1635-4,2879,Level 1 - Use of Force,12/18/2014 01:06:00 PM,E,E,E2,1635,4,Black or African American,Male
2883-1088-4,2883,Level 2 - Use of Force,12/18/2014 02:25:00 PM,E,E,E2,1088,4,Black or African American,Male
2886-855-4,2886,Level 2 - Use of Force,12/18/2014 01:06:00 PM,E,E,E2,855,4,Black or African American,Male
1779-1538-28,1779,Level 1 - Use of Force,05/01/2014 10:50:00 PM,E,E,E2,1538,28,White,Male
1234-1690-36,1234,Level 2 - Use of Force,05/01/2014 11:30:00 PM,E,E,E2,1690,36,White,Male
1432-162-36,1432,Level 2 - Use of Force,05/01/2014 11:30:00 PM,E,E,E2,162,36,White,Male
1435-1703-36,1435,Level 2 - Use of Force,05/01/2014 11:30:00 PM,E,E,E2,1703,36,White,Male
13779-1218-11356,13779,Level 1 - Use of Force,12/16/2016 12:59:00 AM,S,R,R2,1218,11356,White,Male
13800-2190-11369,13800,Level 1 - Use of Force,12/19/2016 02:11:00 AM,N,N,N3,2190,11369,Black or African American,Male
13799-1849-11369,13799,Level 1 - Use of Force,12/19/2016 12:55:00 AM,N,N,N2,1849,11369,Black or African American,Male
1562-1720-65,1562,Level 1 - Use of Force,05/11/2014 01:11:00 PM,N,N,N1,1720,65,White,Male
3520-1748-74,3520,Level 2 - Use of Force,01/24/2015 08:45:00 AM,W,K,K1,1748,74,Black or African American,Male
3516-1774-74,3516,Level 2 - Use of Force,01/24/2015 08:52:00 AM,W,K,K1,1774,74,Black or African American,Male
3517-1765-74,3517,Level 2 - Use of Force,01/24/2015 08:52:00 AM,W,K,K1,1765,74,Black or African American,Male
3518-1731-74,3518,Level 2 - Use of Force,01/24/2015 08:52:00 AM,W,K,K1,1731,74,Black or African American,Male
3519-1794-74,3519,Level 2 - Use of Force,01/24/2015 08:50:00 AM,W,K,K1,1794,74,Black or African American,Male
1436-1163-99,1436,Level 1 - Use of Force,04/23/2014 01:49:00 AM,W,K,K1,1163,99,Black or African American,Male
1695-1598-120,1695,Level 1 - Use of Force,05/31/2014 04:46:00 PM,S,R,R1,1598,120,Black or African American,Male
1697-1631-120,1697,Level 1 - Use of Force,05/31/2014 04:46:00 PM,S,R,R1,1631,120,Black or African American,Male
10684-897-121,10684,Level 2 - Use of Force,05/01/2016 07:30:00 PM,W,K,K2,897,121,Not Specified,Not Specified
10694-806-121,10694,Level 2 - Use of Force,05/01/2016 06:42:00 PM,W,M,M2,806,121,Not Specified,Not Specified
10693-825-121,10693,Level 2 - Use of Force,05/01/2016 07:30:00 PM,W,K,K1,825,121,Not Specified,Not Specified
10692-704-121,10692,Level 2 - Use of Force,05/01/2016 07:30:00 PM,W,K,K2,704,121,Not Specified,Not Specified
2656-619-121,2656,Level 2 - Use of Force,11/28/2014 01:00:00 PM,W,M,M2,619,121,Not Specified,Not Specified
2600-619-121,2600,Level 2 - Use of Force,11/24/2014 10:00:00 PM,E,E,E3,619,121,Not Specified,Not Specified
2631-1042-121,2631,Level 2 - Use of Force,11/28/2014 04:00:00 PM,W,M,M2,1042,121,Not Specified,Not Specified
4872-1044-121,4872,Level 2 - Use of Force,05/01/2015 08:04:00 PM,E,E,E1,1044,121,Not Specified,Not Specified
178-1690-125,178,Level 1 - Use of Force,05/23/2014 05:24:00 PM,W,K,K3,1690,125,Asian,Female
179-953-126,179,Level 1 - Use of Force,05/26/2014 12:10:00 AM,E,E,E2,953,126,Black or African American,Male
1308-622-130,1308,Level 2 - Use of Force,04/08/2014 10:05:00 AM,SW,F,F1,622,130,White,Male
1275-1610-135,1275,Level 2 - Use of Force,04/22/2014 11:34:00 PM,N,U,U1,1610,135,Black or African American,Male
1277-1769-135,1277,Level 2 - Use of Force,04/22/2014 11:34:00 PM,N,U,U1,1769,135,Black or African American,Male
3864-1583-137,3864,Level 1 - Use of Force,04/29/2014 12:22:00 PM,S,S,S3,1583,137,Black or African American,Male
3865-666-137,3865,Level 1 - Use of Force,04/29/2014 12:22:00 PM,S,S,S3,666,137,Black or African American,Male
218-1673-166,218,Level 1 - Use of Force,05/30/2014 02:06:00 PM,E,G,G1,1673,166,White,Male
1542-1659-166,1542,Level 1 - Use of Force,09/28/2014 06:02:00 PM,N,B,B3,1659,166,White,Male
219-1690-169,219,Level 1 - Use of Force,05/30/2014 11:23:00 PM,E,C,C1,1690,169,White,Male
220-1604-170,220,Level 1 - Use of Force,05/30/2014 11:16:00 PM,E,C,C1,1604,170,American Indian/Alaska Native,Male
222-1640-171,222,Level 1 - Use of Force,05/30/2014 11:19:00 PM,E,C,C1,1640,171,American Indian/Alaska Native,Male
223-1145-172,223,Level 1 - Use of Force,06/01/2014 04:03:00 PM,S,R,R1,1145,172,Black or African American,Male
229-1783-178,229,Level 1 - Use of Force,06/02/2014 05:08:00 AM,W,K,K1,1783,178,Not Specified,Male
239-1141-191,239,Level 1 - Use of Force,06/04/2014 10:07:00 PM,E,G,G3,1141,191,Not Specified,Female
240-694-191,240,Level 1 - Use of Force,06/04/2014 10:10:00 PM,E,G,G3,694,191,Not Specified,Female
251-1594-203,251,Level 1 - Use of Force,06/07/2014 12:09:00 AM,E,C,C2,1594,203,Black or African American,Male
253-1622-204,253,Level 1 - Use of Force,06/07/2014 03:05:00 AM,W,K,K3,1622,204,Black or African American,Male
254-1662-205,254,Level 1 - Use of Force,06/07/2014 03:05:00 AM,W,K,K3,1662,205,Black or African American,Male
1208-1733-211,1208,Level 1 - Use of Force,05/23/2014 07:30:00 AM,W,K,K2,1733,211,Black or African American,Male
271-1141-223,271,Level 2 - Use of Force,06/11/2014 02:15:00 AM,W,K,K3,1141,223,Not Specified,Male
284-1640-223,284,Level 2 - Use of Force,06/11/2014 02:15:00 AM,W,K,K3,1640,223,Not Specified,Male
1082-456-233,1082,Level 2 - Use of Force,06/12/2014 09:47:00 PM,W,Q,Q1,456,233,White,Male
